Producer Name,Yield,Square footage of facility:,Square footage of facility used for production:,avg kWh/day,avgkWh/ft,Square footage of flowering canopy:,LIGHTING | NUMBER OF LIGHTS,LIGHTING | WATTS,LIGHTING | HOURS PER DAY,HEATING/COOLING | WATTS,HEATING/COOLING | HOURS PER DAY,HEATING/COOLING | NUMBER OF UNITS,VENTILATION | WATTS,VENTILATION | HOURS PER DAY,VENTILATION | NUMBER OF UNITS,LIGHTING | NUMBER OF LIGHTS,LIGHTING | WATTS,LIGHTING | HOURS PER DAY,HEATING/COOLING | WATTS,HEATING/COOLING | HOURS PER DAY,HEATING/COOLING | NUMBER OF UNITS,VENTILATION | WATTS,VENTILATION | HOURS PER DAY,VENTILATION | NUMBER OF UNITS,DRYING EQUIPMENT | WATTS,DRYING EQUIPMENT | HOURS PER DAY,HEATING/COOLING | WATTS,HEATING/COOLING | HOURS PER DAY,HEATING/COOLING | NUMBER OF UNITS,DEHUMIDIFICATION | NUMBER OF UNITS,HUMIDIFICATION | NUMBER OF UNITS,VENTILATION | WATTS,VENTILATION | HOURS PER DAY,VENTILATION | NUMBER OF UNITS,,,,,,,,,,,,,,,
Phantom Farms,,3000000,80000,,,3400 sq ft,,0,0,0,0,,0,0,,,OUTDOOR,OUTDOOR,OUTDOOR,OUTDOOR,,OUTDOOR,OUTDOOR,,4620,6,10800,6,42661,Daikin 15 Series,,Part of Heating/Cooling,Part of Heating/Cooling,,,,,,,,,,,,,,,,
Phantom Farms,,3000000,80000,,,1300,,0,0,0,0,,0,0,,,OUTDOOR,OUTDOOR,OUTDOOR,OUTDOOR,,OUTDOOR,OUTDOOR,,4620,6,10800,6,42661,Daikin 15 Series,,Part of Heating/Cooling,Part of Heating/Cooling,,,,,,,,,,,,,,,,
Phantom Farms,,3000000,80000,,,600 square feet,,0,0,0,0,,0,0,,,OUTDOOR,OUTDOOR,OUTDOOR,OUTDOOR,,OUTDOOR,OUTDOOR,,4620,6,10800,6,42661,Daikin 15 Series,,Part of Heating/Cooling,Part of Heating/Cooling,,,,,,,,,,,,,,,,
Phoenix Rising Farm,,,,,,840,12 lights per 280sf cultivation room,432,18,,,None,,,1 inline duct fan per cultivation room,n/a,n/a,n/a,,,n/a,,,n/a,,,,,n/a,1 unit per 280sf drying room,n/a,,,1 inline ducted fan per drying room,,,,,,,,,,,,,,,
Phoenix Rising Farm,,,,,,1140,12 lights per 280sf cultivation room,432,18,,,None,,,1 inline duct fan per cultivation room,n/a,n/a,n/a,,,n/a,,,n/a,,,,,n/a,1 unit per 280sf drying room,n/a,,,1 inline ducted fan per drying room,,,,,,,,,,,,,,,
Phoenix Rising Farm,,,,,,560,12 lights per 280sf cultivation room,432,18,,,None,,,1 inline duct fan per cultivation room,n/a,n/a,n/a,,,n/a,,,n/a,,,,,n/a,1 unit per 280sf drying room,n/a,,,1 inline ducted fan per drying room,,,,,,,,,,,,,,,
Phoenix Rising Farm,,,,,,1100,12 lights per 280sf cultivation room,432,18,,,None,,,1 inline duct fan per cultivation room,n/a,n/a,n/a,,,n/a,,,n/a,,,,,n/a,1 unit per 280sf drying room,n/a,,,1 inline ducted fan per drying room,,,,,,,,,,,,,,,
Pilot Farm,,80 acres,40000 sg.ft. tier 2,,,500sq. ft.,,500 or 600 depending on stage,18,1500 only during cold nights,depends on outside air temp. 0-6,,150,1,,,0,0,n/a,0,,0,n/a,,2000watts,depends on stage of drying and how much we need the dehumidifier and exhaust fan could be 0-24 hours,depends on outside air temp. 0 or 1500watts,0 to 24,,,,300,depends on stage of dry 0-24,,,,,,,,,,,,,,,,
Siskiyou Sungrown Farm,,5 acres,40000,,,400,,0,0,0,0,,0,0,,,0,none,0,none,,0,0,,324w/day,24hrs/day,N/A,N/A,42653,N/A,,N/A,N/A,,,,,,,,,,,,,,,,
Sol Botanicals,,500,500,,,8x8,,,,,,,,,,,,,,,,,,,,23,,,43023,,,,,,,,,,,,,,,,,,,,
Sol Botanicals,,500,500,,,8*8,,,,,,,,,,,,,,,,,,,,24,,,43023,,,,,,,,,,,,,,,,,,,,
Southern Oregon Cannabis Company,,,,,,2000 sq feet,0,None,None,,,none,,,fans and dehumidifiers for 7 days when drying only,None,None,None,,,None,,,None,,,,,0,2,1,,,4 fans per room,,,,,,,,,,,,,,,
Southern Oregon Cannabis Company,,,,,,2500 sqft,0,None,None,,,none,,,fans and dehumidifiers for 7 days when drying only,None,None,None,,,None,,,None,,,,,0,2,1,,,4 fans per room,,,,,,,,,,,,,,,
Southern Oregon Cannabis Company,,,,,,2000 sqft,0,None,None,,,none,,,fans and dehumidifiers for 7 days when drying only,None,None,None,,,None,,,None,,,,,0,2,1,,,4 fans per room,,,,,,,,,,,,,,,
Southern Oregon Cannabis Company,,,,,,2000 sqft,0,None,None,,,none,,,fans and dehumidifiers for 7 days when drying only,None,None,None,,,None,,,None,,,,,0,2,1,,,4 fans per room,,,,,,,,,,,,,,,
The Cannabis Farm,,,,12,0.0003,15000,3,432,18-16,,,0,,,1- 220 volt fan.,None,None,None,,,N/A,,,None,,,,,For drying we use wood heat and air movement. The wood is sustainably harvested from our farm.,2,0,,,1,,,,,,,,,,,,,,,
7 Points Oregon,,6000,4000,,,60,,1000,20,,,,,,,,1000,12,,,,,,,,,,,42744,,,,,,,,,,,,,,,,,,,,
7 Points Oregon,,6000,4000,,,60,,1000,20,,,,,,,,1000,12,,,,,,,,,,,42744,,,,,,,,,,,,,,,,,,,,
7 Points Oregon,,6000,4000,,,20,,1000,20,,,,,,,,1000,12,,,,,,,,,,,42744,,,,,,,,,,,,,,,,,,,,
Big Beard Farms,5 pounds,,,130.8,0.186857142857143,150 ft,4,600,20 hours on 4 hours off 600 watts,,,2,,,8,4,1000,12 hours per day,,,2,,,8,,,,,Cadet wall heater. 1 unit,1,0,,,0,,,,,,,,,,,,,,,
Bull Run Craft Cannabis,4,,,,,64,4,as before,24,,,1,,,0,4,1000 w,12,,,1,,,0,,,,,1,1,0,,,0,,,,,,,,,,,,,,,
Bull Run Craft Cannabis,6,,,,,96,6,as before,12,,,1,,,0,6,as before,12,,,1,,,0,,,,,1,1,1,,,0,,,,,,,,,,,,,,,
Bull Run Craft Cannabis,15,,,,,192 sq ft,6,as before,24,,,as before,,,0,12,as before,12,,,1,,,0,,,,,1,1,0,,,0,,,,,,,,,,,,,,,
Bull Run Craft Cannabis,2 pounds,,,,,400,2,432 watts,24,,,1,,,0,2,1000,12,,,as before,,,0,,,,,1,1,0,,,0,,,,,,,,,,,,,,,
Cannabeizein,,200,150,,,8 sq ft,,One 1000 Watt Light x 18 hours = 18000 watts per day,18,0,0,,2160,18,,,One 1000 Watt Light X 12 Hours = 12000 Watts Per Day,12,0,0,,2160,12,,0,0,0,0,,,,0,0,,,,,,,,,,,,,,,,
Cascade High,7lbs,,,352,0.495774647887324,245sqft,10,836,18,,,0,,,2/room,4,1000,12,,,1,,,2,,,,,1,1,0,,,1,,,,,,,,,,,,,,,
Cascade High,3lbs,,,352,0.495774647887324,245sqft,10,836,18,,,0,,,2/room,4,1000,12,,,1,,,2,,,,,1,1,0,,,1,,,,,,,,,,,,,,,
